id,stress
2617500.0,1.0
2617560.0,1.0
2617620.0,1.0
2617680.0,1.0
2617740.0,1.0
2617800.0,1.0
2617860.0,1.0
2617920.0,1.0
2617980.0,1.0
2618040.0,1.0
2618100.0,1.0
2618160.0,1.0
2618220.0,1.0
2618280.0,1.0
2618340.0,1.0
2618400.0,1.0
2618460.0,1.0
2618520.0,1.0
2618580.0,1.0
2618640.0,1.0
2618700.0,1.0
2618760.0,1.0
2618820.0,1.0
2618880.0,1.0
2618940.0,1.0
2619000.0,1.0
2619060.0,1.0
4689840.0,1.0
4689900.0,1.0
4689960.0,1.0
4690020.0,1.0
4690080.0,1.0
4690140.0,1.0
4690200.0,1.0
4690260.0,1.0
4690320.0,1.0
4690380.0,1.0
4690440.0,1.0
4690500.0,1.0
4690560.0,1.0
4690620.0,1.0
4690680.0,1.0
4690740.0,1.0
4690800.0,1.0
4690860.0,1.0
4690920.0,1.0
4690980.0,1.0
4691040.0,1.0
8648760.0,1.0
8648820.0,1.0
8648880.0,1.0
8648940.0,1.0
8649000.0,1.0
8649060.0,1.0
8649120.0,1.0
8649180.0,1.0
8649240.0,1.0
8649300.0,1.0
8649360.0,1.0
8649420.0,1.0
8649480.0,1.0
8649540.0,1.0
8649600.0,1.0
8649660.0,1.0
8649720.0,1.0
8650560.0,0.0
8650620.0,0.0
8650680.0,0.0
8650740.0,0.0
8650800.0,0.0
8650860.0,0.0
8650920.0,0.0
8650980.0,0.0
8651040.0,0.0
8651100.0,0.0
8651160.0,0.0
8651220.0,0.0
8651280.0,0.0
8651340.0,0.0
8651400.0,0.0
8651460.0,0.0
8651520.0,0.0
8651580.0,0.0
8651640.0,0.0
8651700.0,0.0
8651760.0,0.0
8651820.0,0.0
8651880.0,0.0
8651940.0,0.0
8652000.0,0.0
8652060.0,0.0
8652120.0,0.0
8652180.0,0.0
8652240.0,0.0
8652300.0,0.0
8652360.0,0.0
8652420.0,0.0
8652480.0,0.0
8652540.0,0.0
8652600.0,0.0
8652660.0,0.0
8652720.0,0.0
8652780.0,0.0
8652840.0,0.0
8652900.0,0.0
8652960.0,0.0
8653020.0,0.0
8653080.0,0.0
8653140.0,0.0
8653200.0,0.0
8653260.0,0.0
8653320.0,0.0
8653380.0,0.0
8653440.0,0.0
8653500.0,0.0
8653560.0,0.0
8653620.0,0.0
8653680.0,0.0
8653740.0,0.0
8653800.0,0.0
8653860.0,0.0
8653920.0,0.0
8653980.0,0.0
8654040.0,0.0
8654100.0,0.0
8654160.0,0.0
8654220.0,0.0
8654280.0,0.0
8654340.0,0.0
8654400.0,0.0
8654460.0,0.0
8654520.0,0.0
8654580.0,0.0
8654640.0,0.0
8654700.0,0.0
8654760.0,0.0
8654820.0,0.0
8654880.0,0.0
8654940.0,0.0
8655000.0,0.0
8655060.0,0.0
8655120.0,0.0
8655180.0,0.0
8655240.0,0.0
8655300.0,0.0
8655360.0,0.0
8655420.0,0.0
8655480.0,0.0
8655540.0,0.0
8655600.0,0.0
8655660.0,0.0
8655720.0,0.0
8655780.0,0.0
8655840.0,0.0
8655900.0,0.0
8655960.0,0.0
8656020.0,0.0
8656080.0,0.0
8656140.0,0.0
8656200.0,0.0
8656260.0,0.0
8656320.0,0.0
8656380.0,0.0
8656440.0,0.0
8656500.0,0.0
8656560.0,0.0
8656620.0,0.0
8656680.0,0.0
8656740.0,0.0
