id,label
2860000,1
2865000,1
2870000,1
2875000,1
2880000,1
2885000,1
2890000,1
2895000,1
2900000,1
2905000,1
2910000,1
2915000,1
2920000,1
2925000,1
2930000,1
2935000,1
2940000,1
2945000,1
2950000,1
2955000,1
2960000,1
2965000,1
2970000,1
2975000,1
2980000,1
2985000,1
2990000,1
2995000,3
3000000,3
3005000,3
3010000,3
3015000,3
3020000,3
3025000,3
3030000,3
3035000,3
3040000,3
3045000,3
3050000,3
3055000,3
3060000,3
3065000,3
3070000,3
3075000,3
3080000,1
3085000,1
3090000,1
3095000,1
3100000,1
3105000,1
3110000,1
3115000,1
3120000,1
3125000,1
3130000,1
3135000,1
3140000,1
3145000,1
3150000,1
3155000,1
3160000,1
3165000,1
3170000,1
3175000,1
3180000,1
3185000,1
3190000,2
3195000,2
3200000,3
3205000,3
3210000,3
3215000,3
3220000,3
3225000,3
3230000,3
3235000,3
3240000,3
3245000,3
3250000,3
3255000,3
3260000,3
3265000,3
3270000,3
3275000,3
3280000,3
3285000,3
3290000,3
3295000,3
3300000,3
3305000,1
3310000,3
3315000,1
3320000,1
3325000,1
3330000,1
3335000,1
3340000,1
3345000,1
3350000,3
3355000,3
3360000,3
3365000,3
3370000,3
3375000,1
3380000,3
3385000,1
3390000,1
3395000,1
3400000,1
3405000,1
3410000,1
3415000,1
3420000,1
3425000,1
3430000,1
3435000,1
3440000,1
3445000,1
3450000,1
3455000,3
4728000,1
4733000,1
4738000,1
4743000,1
4748000,1
4753000,1
4758000,1
4763000,1
4768000,1
4773000,1
4778000,1
4783000,1
4788000,1
4793000,1
4798000,1
4803000,1
4808000,1
4813000,1
4818000,1
4823000,1
4828000,1
4833000,1
4838000,1
4843000,1
4848000,1
4853000,1
4858000,1
4863000,1
4868000,1
4873000,1
4878000,1
4883000,1
4888000,1
4893000,1
4898000,1
4903000,1
4908000,1
4913000,1
4918000,1
4923000,1
4928000,1
4933000,1
4938000,1
4943000,1
4948000,0
4953000,0
4958000,0
4963000,2
4968000,2
4973000,2
4978000,2
4983000,2
4988000,2
4993000,2
4998000,2
5003000,2
5008000,2
5013000,2
5018000,2
5023000,2
5028000,2
5033000,3
5038000,1
5043000,1
5048000,1
5053000,1
5058000,1
5063000,1
5068000,1
5073000,1
5078000,1
5083000,1
5088000,1
5093000,1
5098000,1
5103000,1
5108000,1
5113000,1
5118000,1
5123000,1
5128000,1
5133000,1
5138000,1
5143000,1
5148000,1
5153000,1
5158000,3
5163000,3
5168000,3
5173000,3
5178000,3
5183000,3
5188000,3
5193000,3
5198000,3
5203000,3
5208000,2
5213000,3
5218000,3
5223000,3
5228000,3
5233000,3
5238000,3
5243000,1
5248000,1
5253000,1
5258000,1
5263000,1
5268000,1
5273000,1
5278000,1
5283000,1
5288000,1
5293000,1
5298000,1
5303000,1
5308000,1
5313000,1
5318000,1
5323000,1
8891000,1
8896000,1
8901000,1
8906000,1
8911000,1
8916000,1
8921000,1
8926000,1
8931000,1
8936000,1
8941000,1
8946000,1
8951000,1
8956000,1
8961000,1
8966000,1
8971000,1
8976000,1
8981000,1
8986000,1
8991000,1
8996000,1
9001000,1
9006000,0
9011000,0
9016000,1
9021000,1
9026000,1
9031000,1
9036000,1
9041000,0
9046000,0
9051000,0
9056000,0
9061000,0
9066000,1
9071000,1
9076000,1
9081000,1
9086000,1
9091000,1
9096000,1
9101000,1
9106000,1
9111000,1
9116000,1
9121000,1
9126000,1
9131000,0
9136000,2
9141000,2
9146000,2
9151000,2
9156000,2
9161000,2
9166000,2
9171000,2
9176000,1
9181000,1
9186000,1
9191000,1
9196000,1
9201000,1
9206000,1
9211000,1
9216000,1
9221000,1
9226000,1
9231000,1
9236000,1
9241000,1
9246000,1
9251000,1
9256000,1
9261000,1
9266000,0
9271000,0
9276000,0
9281000,0
9286000,0
9291000,0
9296000,0
9301000,0
9306000,0
9311000,0
9316000,0
9321000,0
9326000,0
9331000,0
9336000,1
9341000,1
9346000,1
9351000,0
9356000,0
9361000,0
9366000,0
9371000,0
9376000,0
9381000,3
9386000,3
9391000,0
9396000,0
9401000,0
9406000,0
9411000,0
9416000,0
9421000,0
9426000,0
9431000,0
9436000,0
9441000,0
9446000,0
9451000,0
9456000,0
9461000,0
9466000,0
9471000,0
9476000,0
9481000,0
9486000,0
14216000,0
14221000,0
14226000,0
14231000,0
14236000,0
14241000,0
14246000,0
14251000,0
14256000,0
14261000,0
14266000,0
14271000,0
14276000,0
14281000,0
14286000,0
14291000,0
14296000,0
14301000,0
14306000,0
14311000,0
14316000,0
14321000,0
14326000,0
14331000,0
14336000,0
14341000,0
14346000,0
14351000,0
14356000,0
14361000,0
14366000,1
14371000,1
14376000,1
14381000,1
14386000,1
14391000,1
14396000,1
14401000,1
14406000,1
14411000,1
14416000,1
14421000,1
14426000,1
14431000,1
14436000,1
14441000,1
14446000,1
14451000,1
14456000,1
14461000,0
14466000,0
14471000,1
14476000,1
14481000,1
14486000,1
14491000,1
14496000,1
14501000,0
14506000,0
14511000,0
14516000,0
14521000,1
14526000,1
14531000,1
14536000,1
14541000,1
14546000,1
14551000,1
14556000,1
14561000,1
14566000,1
14571000,1
14576000,1
14581000,1
14586000,1
14591000,1
14596000,1
14601000,1
14606000,1
14611000,1
14616000,1
14621000,1
14626000,1
